id,cement,slag,flyAsh,water,superPlasticizer,coarseAggregate,fineAggregate,age,concrete_strength
0,540.0,0.0,0.0,162.0,2.5,1040.0,676.0,28,79.99
1,540.0,0.0,0.0,162.0,2.5,1055.0,676.0,28,61.89
2,332.5,142.5,0.0,228.0,0.0,932.0,594.0,270,40.27
3,332.5,142.5,0.0,228.0,0.0,932.0,594.0,365,41.05
4,198.6,132.4,0.0,192.0,0.0,978.4,825.5,360,44.3
5,266.0,114.0,0.0,228.0,0.0,932.0,670.0,90,47.03
6,380.0,95.0,0.0,228.0,0.0,932.0,594.0,365,43.7
7,380.0,95.0,0.0,228.0,0.0,932.0,594.0,28,36.45
8,266.0,114.0,0.0,228.0,0.0,932.0,670.0,28,45.85
9,475.0,0.0,0.0,228.0,0.0,932.0,594.0,28,39.29
10,198.6,132.4,0.0,192.0,0.0,978.4,825.5,90,38.07
11,198.6,132.4,0.0,192.0,0.0,978.4,825.5,28,28.02
12,427.5,47.5,0.0,228.0,0.0,932.0,594.0,270,43.01
13,190.0,190.0,0.0,228.0,0.0,932.0,670.0,90,42.33
14,304.0,76.0,0.0,228.0,0.0,932.0,670.0,28,47.81
15,380.0,0.0,0.0,228.0,0.0,932.0,670.0,90,52.91
16,139.6,209.4,0.0,192.0,0.0,1047.0,806.9,90,39.36
17,342.0,38.0,0.0,228.0,0.0,932.0,670.0,365,56.14
18,380.0,95.0,0.0,228.0,0.0,932.0,594.0,90,40.56
19,475.0,0.0,0.0,228.0,0.0,932.0,594.0,180,42.62
20,427.5,47.5,0.0,228.0,0.0,932.0,594.0,180,41.84
21,139.6,209.4,0.0,192.0,0.0,1047.0,806.9,28,28.24
22,139.6,209.4,0.0,192.0,0.0,1047.0,806.9,3,8.06
23,139.6,209.4,0.0,192.0,0.0,1047.0,806.9,180,44.21
24,380.0,0.0,0.0,228.0,0.0,932.0,670.0,365,52.52
25,380.0,0.0,0.0,228.0,0.0,932.0,670.0,270,53.3
26,380.0,95.0,0.0,228.0,0.0,932.0,594.0,270,41.15
27,342.0,38.0,0.0,228.0,0.0,932.0,670.0,180,52.12
28,427.5,47.5,0.0,228.0,0.0,932.0,594.0,28,37.43
29,475.0,0.0,0.0,228.0,0.0,932.0,594.0,7,38.6
30,304.0,76.0,0.0,228.0,0.0,932.0,670.0,365,55.26
31,266.0,114.0,0.0,228.0,0.0,932.0,670.0,365,52.91
32,198.6,132.4,0.0,192.0,0.0,978.4,825.5,180,41.72
33,475.0,0.0,0.0,228.0,0.0,932.0,594.0,270,42.13
34,190.0,190.0,0.0,228.0,0.0,932.0,670.0,365,53.69
35,237.5,237.5,0.0,228.0,0.0,932.0,594.0,270,38.41
36,237.5,237.5,0.0,228.0,0.0,932.0,594.0,28,30.08
37,332.5,142.5,0.0,228.0,0.0,932.0,594.0,90,37.72
38,475.0,0.0,0.0,228.0,0.0,932.0,594.0,90,42.23
39,237.5,237.5,0.0,228.0,0.0,932.0,594.0,180,36.25
40,342.0,38.0,0.0,228.0,0.0,932.0,670.0,90,50.46
41,427.5,47.5,0.0,228.0,0.0,932.0,594.0,365,43.7
42,237.5,237.5,0.0,228.0,0.0,932.0,594.0,365,39.0
43,380.0,0.0,0.0,228.0,0.0,932.0,670.0,180,53.1
44,427.5,47.5,0.0,228.0,0.0,932.0,594.0,90,41.54
45,427.5,47.5,0.0,228.0,0.0,932.0,594.0,7,35.08
46,349.0,0.0,0.0,192.0,0.0,1047.0,806.9,3,15.05
47,380.0,95.0,0.0,228.0,0.0,932.0,594.0,180,40.76
48,237.5,237.5,0.0,228.0,0.0,932.0,594.0,7,26.26
49,380.0,95.0,0.0,228.0,0.0,932.0,594.0,7,32.82
50,332.5,142.5,0.0,228.0,0.0,932.0,594.0,180,39.78
51,190.0,190.0,0.0,228.0,0.0,932.0,670.0,180,46.93
52,237.5,237.5,0.0,228.0,0.0,932.0,594.0,90,33.12
53,304.0,76.0,0.0,228.0,0.0,932.0,670.0,90,49.19
54,139.6,209.4,0.0,192.0,0.0,1047.0,806.9,7,14.59
